,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,penalty_yards1,penalty_yards2
6,ATL,2019,2019-11-17,1:00,1:00,@,CAR,11,10,Sun,W 29-3,,20,68
7,CHI,2019,2019-11-17,8:20,5:20,@,LAR,11,10,Sun,L 7-17,,25,34
8,CIN,2019,2019-11-17,4:25,1:25,@,OAK,11,10,Sun,L 10-17,,40,42
9,ARI,2019,2019-11-17,4:05,1:05,@,SFO,11,11,Sun,L 26-36,,104,127
10,DEN,2019,2019-11-17,1:00,3:00,@,MIN,11,10,Sun,L 23-27,,35,49
11,DET,2019,2019-11-17,1:00,1:00,,DAL,11,10,Sun,L 27-35,,89,45
12,HOU,2019,2019-11-17,1:00,1:00,@,BAL,11,10,Sun,L 7-41,,60,65
13,JAX,2019,2019-11-17,1:00,1:00,@,IND,11,10,Sun,L 13-33,,81,20
14,MIA,2019,2019-11-17,1:00,1:00,,BUF,11,10,Sun,L 20-37,,44,50
15,NYJ,2019,2019-11-17,1:00,1:00,@,WAS,11,10,Sun,W 34-17,,55,66
16,PHI,2019,2019-11-17,4:25,4:25,,NWE,11,10,Sun,L 10-17,,39,89
17,TAM,2019,2019-11-17,1:00,1:00,,NOR,11,10,Sun,L 17-34,,55,76
18,PIT,2019,2019-11-14,8:20,8:20,@,CLE,11,10,Thu,L 7-21,,41,121
19,SEA,2019,2019-11-11,8:15,5:15,@,SFO,10,10,Mon,W 27-24,OT,75,40
21,ATL,2019,2019-11-10,1:00,12:00,@,NOR,10,9,Sun,W 26-9,,48,90
22,BUF,2019,2019-11-10,1:00,1:00,@,CLE,10,9,Sun,L 16-19,,40,70
23,CAR,2019,2019-11-10,4:25,3:25,@,GNB,10,9,Sun,L 16-24,,46,64
24,CIN,2019,2019-11-10,1:00,1:00,,BAL,10,9,Sun,L 13-49,,5,35
25,ARI,2019,2019-11-10,1:00,1:00,@,TAM,10,10,Sun,L 27-30,,87,94
26,DET,2019,2019-11-10,1:00,12:00,@,CHI,10,9,Sun,L 13-20,,76,57
27,MIA,2019,2019-11-10,4:05,4:05,@,IND,10,9,Sun,W 16-12,,30,25
28,MIN,2019,2019-11-10,8:20,7:20,@,DAL,10,10,Sun,W 28-24,,35,39
29,NYJ,2019,2019-11-10,1:00,1:00,,NYG,10,9,Sun,W 34-27,,54,62
30,TEN,2019,2019-11-10,1:00,12:00,,KAN,10,10,Sun,W 35-32,,64,80
31,PIT,2019,2019-11-10,4:25,4:25,,LAR,10,9,Sun,W 17-12,,107,95
32,OAK,2019,2019-11-07,8:20,5:20,,LAC,10,9,Thu,W 26-24,,97,70
33,NYG,2019,2019-11-04,8:15,8:15,,DAL,9,9,Mon,L 18-37,,71,104
34,CHI,2019,2019-11-03,1:00,1:00,@,PHI,9,8,Sun,L 14-22,,70,75
35,IND,2019,2019-11-03,1:00,1:00,@,PIT,9,8,Sun,L 24-26,,89,70
36,DEN,2019,2019-11-03,4:25,2:25,,CLE,9,9,Sun,W 24-19,,55,40
37,DET,2019,2019-11-03,4:05,1:05,@,OAK,9,8,Sun,L 24-31,,35,96
38,HOU,2019,2019-11-03,9:30,2:30,@,JAX,9,9,Sun,W 26-3,,60,34
39,KAN,2019,2019-11-03,1:00,12:00,,MIN,9,9,Sun,W 26-23,,25,25
40,MIA,2019,2019-11-03,1:00,1:00,,NYJ,9,8,Sun,W 26-18,,51,105
42,TEN,2019,2019-11-03,1:00,1:00,@,CAR,9,9,Sun,L 20-30,,99,77
43,BAL,2019,2019-11-03,8:20,8:20,,NWE,9,8,Sun,W 37-20,,34,48
44,LAC,2019,2019-11-03,4:25,1:25,,GNB,9,9,Sun,W 26-11,,45,45
45,TAM,2019,2019-11-03,4:05,1:05,@,SEA,9,8,Sun,L 34-40,OT,82,45
46,WAS,2019,2019-11-03,1:00,1:00,@,BUF,9,9,Sun,L 9-24,,15,20
47,ARI,2019,2019-10-31,8:20,6:20,,SFO,9,9,Thu,L 25-28,,65,75
48,MIA,2019,2019-10-28,8:15,8:15,@,PIT,8,7,Mon,L 14-27,,45,70
49,ATL,2019,2019-10-27,1:00,1:00,,SEA,8,8,Sun,L 20-27,,40,60
50,CAR,2019,2019-10-27,4:05,1:05,@,SFO,8,7,Sun,L 13-51,,70,31
51,CIN,2019,2019-10-27,1:00,6:00,@,LAR,8,8,Sun,L 10-24,,40,59
52,CLE,2019,2019-10-27,4:25,4:25,@,NWE,8,7,Sun,L 13-27,,85,32
53,ARI,2019,2019-10-27,1:00,12:00,@,NOR,8,8,Sun,L 9-31,,35,15
54,DEN,2019,2019-10-27,1:00,1:00,@,IND,8,8,Sun,L 13-15,,88,103
55,KAN,2019,2019-10-27,8:20,7:20,,GNB,8,8,Sun,L 24-31,,30,25
56,NYG,2019,2019-10-27,1:00,1:00,@,DET,8,8,Sun,L 26-31,,44,75
57,NYJ,2019,2019-10-27,1:00,1:00,@,JAX,8,7,Sun,L 15-29,,83,70
58,PHI,2019,2019-10-27,1:00,1:00,@,BUF,8,8,Sun,W 31-13,,44,57
59,OAK,2019,2019-10-27,4:25,3:25,@,HOU,8,7,Sun,L 24-27,,100,50
60,LAC,2019,2019-10-27,1:00,12:00,@,CHI,8,8,Sun,W 17-16,,53,42
61,TAM,2019,2019-10-27,1:00,12:00,@,TEN,8,7,Sun,L 23-27,,87,77
63,WAS,2019,2019-10-24,8:20,10:20,@,MIN,8,8,Thu,L 9-19,,46,74
64,NYJ,2019,2019-10-21,8:15,8:15,,NWE,7,6,Mon,L 0-33,,60,92
65,ATL,2019,2019-10-20,1:00,1:00,,LAR,7,7,Sun,L 10-37,,48,24
66,CIN,2019,2019-10-20,1:00,1:00,,JAX,7,7,Sun,L 17-27,,50,130
67,ARI,2019,2019-10-20,1:00,1:00,@,NYG,7,7,Sun,W 27-21,,85,75
68,DET,2019,2019-10-20,1:00,1:00,,MIN,7,6,Sun,L 30-42,,67,60
69,HOU,2019,2019-10-20,1:00,1:00,@,IND,7,7,Sun,L 23-30,,54,45
70,MIA,2019,2019-10-20,1:00,1:00,@,BUF,7,6,Sun,L 21-31,,55,83
71,NOR,2019,2019-10-20,4:25,3:25,@,CHI,7,7,Sun,W 36-25,,35,10
72,PHI,2019,2019-10-20,8:20,7:20,@,DAL,7,7,Sun,L 10-37,,40,65
73,OAK,2019,2019-10-20,1:00,12:00,@,GNB,7,6,Sun,L 24-42,,97,20
74,BAL,2019,2019-10-20,4:25,1:25,@,SEA,7,7,Sun,W 30-16,,75,18
75,LAC,2019,2019-10-20,4:05,3:05,@,TEN,7,7,Sun,L 20-23,,29,54
76,WAS,2019,2019-10-20,1:00,1:00,,SFO,7,7,Sun,L 0-9,,47,20
77,DEN,2019,2019-10-17,8:20,6:20,,KAN,7,7,Thu,L 6-30,,33,46
78,DET,2019,2019-10-14,8:15,7:15,@,GNB,6,5,Mon,L 22-23,,50,48
79,CIN,2019,2019-10-13,1:00,1:00,@,BAL,6,6,Sun,L 17-23,,20,81
80,ARI,2019,2019-10-13,4:05,2:05,,ATL,6,6,Sun,W 34-33,,57,72
81,HOU,2019,2019-10-13,1:00,12:00,@,KAN,6,6,Sun,W 31-24,,70,79
82,MIA,2019,2019-10-13,1:00,1:00,,WAS,6,5,Sun,L 16-17,,45,56
84,NOR,2019,2019-10-13,1:00,1:00,@,JAX,6,6,Sun,W 13-6,,35,15
85,NYJ,2019,2019-10-13,4:25,4:25,,DAL,6,5,Sun,W 24-22,,105,68
86,TEN,2019,2019-10-13,4:25,2:25,@,DEN,6,6,Sun,L 0-16,,40,51
87,PHI,2019,2019-10-13,1:00,3:00,@,MIN,6,6,Sun,L 20-38,,49,30
88,PIT,2019,2019-10-13,8:20,5:20,@,LAC,6,6,Sun,W 24-17,,45,74
89,SEA,2019,2019-10-13,1:00,1:00,@,CLE,6,6,Sun,W 32-28,,65,83
90,SFO,2019,2019-10-13,4:05,1:05,@,LAR,6,5,Sun,W 20-7,,30,59
91,TAM,2019,2019-10-13,9:30,2:30,,CAR,6,6,Sun,L 26-37,,70,30
92,NYG,2019,2019-10-10,8:20,8:20,@,NWE,6,6,Thu,L 14-35,,40,20
93,CLE,2019,2019-10-07,8:15,5:15,@,SFO,5,5,Mon,L 3-31,,55,34
94,ATL,2019,2019-10-06,1:00,12:00,@,HOU,5,5,Sun,L 32-53,,63,89
95,BUF,2019,2019-10-06,1:00,12:00,@,TEN,5,5,Sun,W 14-7,,78,60
96,IND,2019,2019-10-06,8:20,7:20,@,KAN,5,5,Sun,W 19-13,,50,125
97,ARI,2019,2019-10-06,1:00,1:00,@,CIN,5,5,Sun,W 26-23,,96,60
98,DEN,2019,2019-10-06,4:05,1:05,@,LAC,5,5,Sun,W 20-13,,122,43
99,GNB,2019,2019-10-06,4:25,3:25,@,DAL,5,5,Sun,W 34-24,,78,124
100,JAX,2019,2019-10-06,1:00,1:00,@,CAR,5,5,Sun,L 27-34,,84,70
101,NYG,2019,2019-10-06,1:00,1:00,,MIN,5,5,Sun,L 10-28,,45,112
102,NYJ,2019,2019-10-06,1:00,1:00,@,PHI,5,4,Sun,L 6-31,,52,76
103,PIT,2019,2019-10-06,1:00,1:00,,BAL,5,5,Sun,L 23-26,OT,76,92
0,OAK,2019,2019-10-06,1:00,6:00,,CHI,5,5,Sun,W 24-21,,69,75
1,TAM,2019,2019-10-06,1:00,12:00,@,NOR,5,5,Sun,L 24-31,,30,40
2,WAS,2019,2019-10-06,1:00,1:00,,NWE,5,5,Sun,L 7-33,,72,55
3,LAR,2019,2019-10-03,8:20,5:20,@,SEA,5,5,Thu,L 29-30,,45,45
4,CIN,2019,2019-09-30,8:15,8:15,@,PIT,4,4,Mon,L 3-27,,60,37
5,BUF,2019,2019-09-29,1:00,1:00,,NWE,4,4,Sun,L 10-16,,76,58
6,CAR,2019,2019-09-29,1:00,12:00,@,HOU,4,4,Sun,W 16-10,,35,81
7,CHI,2019,2019-09-29,4:25,3:25,,MIN,4,4,Sun,W 16-6,,50,55
8,CLE,2019,2019-09-29,1:00,1:00,@,BAL,4,4,Sun,W 40-25,,41,15
9,ARI,2019,2019-09-29,4:05,2:05,,SEA,4,4,Sun,L 10-27,,44,65
10,DET,2019,2019-09-29,1:00,1:00,,KAN,4,4,Sun,L 30-34,,48,51
11,JAX,2019,2019-09-29,4:25,2:25,@,DEN,4,4,Sun,W 26-24,,104,48
12,MIA,2019,2019-09-29,1:00,1:00,,LAC,4,4,Sun,L 10-30,,53,89
13,NOR,2019,2019-09-29,8:20,7:20,,DAL,4,4,Sun,W 12-10,,80,64
14,TEN,2019,2019-09-29,1:00,1:00,@,ATL,4,4,Sun,W 24-10,,77,50
15,OAK,2019,2019-09-29,1:00,1:00,@,IND,4,4,Sun,W 31-24,,80,35
16,TAM,2019,2019-09-29,4:05,1:05,@,LAR,4,4,Sun,W 55-40,,99,106
17,WAS,2019,2019-09-29,1:00,1:00,@,NYG,4,4,Sun,L 3-24,,58,45
18,PHI,2019,2019-09-26,8:20,7:20,@,GNB,4,4,Thu,W 34-27,,93,50
19,WAS,2019,2019-09-23,8:15,8:15,,CHI,3,3,Mon,L 15-31,,61,59
21,ATL,2019,2019-09-22,1:00,1:00,@,IND,3,3,Sun,L 24-27,,128,39
22,CAR,2019,2019-09-22,4:05,2:05,@,ARI,3,3,Sun,W 38-20,,35,52
23,CIN,2019,2019-09-22,1:00,1:00,@,BUF,3,3,Sun,L 17-21,,54,55
24,CLE,2019,2019-09-22,8:20,8:20,,LAR,3,3,Sun,L 13-20,,60,49
25,DEN,2019,2019-09-22,1:00,12:00,@,GNB,3,3,Sun,L 16-27,,27,53
26,DET,2019,2019-09-22,1:00,1:00,@,PHI,3,3,Sun,W 27-24,,61,30
27,HOU,2019,2019-09-22,4:25,1:25,@,LAC,3,3,Sun,W 27-20,,65,69
28,MIA,2019,2019-09-22,1:00,12:00,@,DAL,3,3,Sun,L 6-31,,35,100
29,NOR,2019,2019-09-22,4:25,1:25,@,SEA,3,3,Sun,W 33-27,,70,53
30,NYG,2019,2019-09-22,4:05,4:05,@,TAM,3,3,Sun,W 32-31,,59,30
31,NYJ,2019,2019-09-22,1:00,1:00,@,NWE,3,3,Sun,L 14-30,,67,70
32,PIT,2019,2019-09-22,4:25,1:25,@,SFO,3,3,Sun,L 20-24,,42,71
33,OAK,2019,2019-09-22,1:00,3:00,@,MIN,3,3,Sun,L 14-34,,84,59
34,BAL,2019,2019-09-22,1:00,12:00,@,KAN,3,3,Sun,L 28-33,,60,31
35,JAX,2019,2019-09-19,8:20,8:20,,TEN,3,3,Thu,W 20-7,,30,101
36,NYJ,2019,2019-09-16,8:15,8:15,,CLE,2,2,Mon,L 3-23,,89,85
37,ATL,2019,2019-09-15,8:20,8:20,,PHI,2,2,Sun,W 24-20,,58,60
38,IND,2019,2019-09-15,1:00,12:00,@,TEN,2,2,Sun,W 19-17,,65,75
