,Unnamed: 0,Unnamed: 0.1,team,opponent,week,home,away,points_for,points_against,over_under,yards_per_play_offense,yards_allowed_per_defensive_play,total_yards,total_yards_allowed,turnovers_lost,sacks,times_sacked,win?,loss?,covered_spread?,opponent_covered_spread?,game_id,total_wins,total_losses,spread,opponent_spread,favorite,underdog,rushing_attempts,rushing_yards,rushing_yards_per_attempt,time_of_possession,penalty_yards,passing_yards_per_attempt,FGA,FGM
36,36,36,PANTHERS,BUCCANEERS,2,1,0,14,20,48.0,4.82191780821918,4.89830508474576,352,289,1,3,3,0,1,0,1,250,0,2,-1.5,1.5,1,0,19.0,39.0,2.05,0.43527777777777776,50.0,6.137254901960786,4.0,4.0
37,38,37,BEARS,BRONCOS,2,0,1,16,14,41.0,4.875,4.89473684210526,273,372,0,2,0,1,0,0,1,239,1,1,-2.5,2.5,1,0,29.0,153.0,5.28,0.4502777777777778,65.0,4.4444444444444455,3.0,3.0
38,39,38,BENGALS,49ERS,2,1,0,17,41,46.0,4.86153846153846,8.397058823529411,316,571,1,0,4,0,1,0,1,248,0,2,1.0,-1.0,0,1,19.0,25.0,1.32,0.4613888888888889,60.0,6.928571428571429,2.0,1.0
39,40,39,BROWNS,JETS,2,0,1,23,3,45.5,6.3559322033898304,4.4406779661017,375,262,1,4,3,1,0,1,0,235,1,1,-6.5,6.5,1,0,21.0,70.0,3.33,0.4947222222222222,85.0,8.714285714285714,3.0,3.0
40,41,40,COWBOYS,REDSKINS,2,0,1,31,21,46.5,7.29230769230769,4.63636363636364,474,255,1,1,1,1,0,1,0,249,2,0,-6.0,6.0,1,0,34.0,213.0,6.26,0.5561111111111111,67.0,8.7,1.0,1.0
41,42,41,BRONCOS,BEARS,2,1,0,14,16,41.0,4.8947,4.875,372,273,1,0,2,0,1,1,0,239,0,2,2.5,-2.5,0,1,24.0,90.0,3.75,0.5497222222222222,81.0,5.64,2.0,2.0
42,43,42,LIONS,CHARGERS,2,1,0,13,10,47.0,5.8448,6.8387,339,424,2,1,0,1,0,1,0,240,1,0,1.5,-1.5,0,1,28.0,94.0,3.36,0.4780555555555556,71.0,8.166666666666666,1.0,0.0
43,44,43,PACKERS,VIKINGS,2,1,0,21,16,43.0,4.855072463768121,7.01666666666667,335,421,2,1,2,1,0,1,0,243,2,0,-2.5,2.5,1,0,33.0,144.0,4.36,0.5683333333333334,35.0,5.617647058823528,0.0,0.0
44,45,44,TEXANS,JAGUARS,2,1,0,13,12,43.0,4.17460317460318,4.8448275862069,263,281,0,4,4,1,0,0,1,241,1,1,1.0,-1.0,0,1,30.0,126.0,4.2,0.4997222222222222,47.0,4.724137931034483,2.0,2.0
45,47,45,COLTS,TITANS,2,0,1,19,17,43.5,4.4308,4.3393,288,243,2,4,3,1,0,1,0,237,1,1,3.0,-3.0,0,1,34.0,167.0,4.91,0.5316666666666667,65.0,4.321428571428571,0.0,0.0
46,48,46,JAGUARS,TEXANS,2,0,1,12,13,43.0,4.8448,4.1746,281,263,1,4,4,0,1,1,0,241,0,2,7.5,-7.5,0,1,21.0,103.0,4.9,0.5002777777777778,70.0,5.393939393939394,2.0,2.0
47,50,47,CHIEFS,RAIDERS,2,0,1,28,10,53.5,6.867647058823531,5.11666666666667,467,307,1,3,2,1,0,1,0,246,2,0,-7.0,7.0,1,0,22.0,31.0,1.41,0.5430555555555556,114.0,9.909090909090908,0.0,0.0
48,51,48,CHARGERS,LIONS,2,0,1,10,13,47.0,6.838709677419361,5.8448275862069,424,339,2,0,1,0,1,0,1,240,1,1,-1.5,1.5,1,0,25.0,137.0,5.48,0.5219444444444444,70.0,7.972222222222222,3.0,1.0
49,52,49,RAMS,SAINTS,2,1,0,27,9,52.5,6.2295081967213095,4.28070175438597,380,244,1,2,3,1,0,1,0,244,2,0,-2.0,2.0,1,0,30.0,115.0,3.83,0.5058333333333334,65.0,9.464285714285714,2.0,2.0
50,53,50,DOLPHINS,PATRIOTS,2,1,0,0,43,48.5,3.0164,5.8308,184,379,4,2,7,0,1,0,1,242,0,2,18.0,-18.0,0,1,15.0,42.0,2.8,0.3916666666666667,22.0,3.641025641025641,0.0,0.0
51,54,51,VIKINGS,PACKERS,2,0,1,16,21,43.0,7.0167,4.8551,421,335,4,2,1,0,1,0,1,243,1,1,2.5,-2.5,0,1,27.0,198.0,7.33,0.4316666666666667,100.0,6.96875,2.0,1.0
52,55,52,SAINTS,RAMS,2,0,1,9,27,52.5,4.2807,6.2295,244,380,1,3,2,0,1,0,1,244,1,1,2.0,-2.0,0,1,20.0,57.0,2.85,0.4941666666666666,87.0,5.342857142857143,3.0,3.0
