,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
33,33,DET,2019,2019-12-22,4:05,2:05,Away,DEN,16,15,Sun,L 17-27,,17,27,-10,44,9.5,not covered,40.0,over,12,24,50.0,95,1,0,4,22,74.1,21,96,4.57,0,191,49,3.8980,67,5.1940,,23:52,2:54
34,34,JAX,2019,2019-12-22,1:00,1:00,Away,ATL,16,15,Sun,L 12-24,,12,24,-12,36,7.5,not covered,48.0,under,14,32,43.8,173,1,0,3,15,71.5,24,115,4.79,0,288,59,4.8814,73,7.0959,1,26:53,2:57
35,35,MIA,2019,2019-12-22,1:00,1:00,Home,CIN,16,15,Sun,W 38-35,OT,38,35,3,73,1.5,covered,46.0,over,31,52,59.6,406,4,1,2,13,101.9,34,96,2.82,1,502,88,5.7045,85,5.0588,1,36:24,4:00
36,36,NYJ,2019,2019-12-22,1:00,1:00,Home,PIT,16,15,Sun,W 16-10,,16,10,6,26,3.0,covered,36.5,under,16,26,61.5,174,1,0,2,9,94.1,32,85,2.66,0,259,60,4.3167,66,3.9394,1,28:28,2:53
37,37,TEN,2019,2019-12-22,1:00,12:00,Home,NOR,16,15,Sun,L 28-38,,28,38,-10,66,3.5,not covered,49.0,over,17,27,63.0,248,3,0,5,24,129.9,26,149,5.73,1,397,58,6.8448,66,5.7121,1,28:56,3:20
38,38,PHI,2019,2019-12-22,4:25,4:25,Home,DAL,16,15,Sun,W 17-9,,17,9,8,26,2.0,covered,47.0,under,31,40,77.5,313,1,0,1,6,107.6,30,118,3.93,1,431,71,6.0704,62,5.0161,,36:12,3:08
39,39,OAK,2019,2019-12-22,4:05,1:05,Away,LAC,16,15,Sun,W 24-17,,24,17,7,41,7.5,covered,45.0,under,26,30,86.7,267,1,0,3,24,114.9,29,99,3.41,2,366,62,5.9032,56,5.0714,,33:24,3:01
40,40,WAS,2019,2019-12-22,1:00,1:00,Home,NYG,16,15,Sun,L 35-41,OT,35,41,-6,76,1.0,not covered,42.0,over,29,38,76.3,281,3,0,3,21,122.8,26,80,3.08,2,361,67,5.3881,69,8.0000,,33:48,3:36
42,41,BUF,2019,2019-12-21,4:30,4:30,Away,NWE,16,15,Sat,L 17-24,,17,24,-7,41,7.0,push,38.5,over,13,26,50.0,176,2,0,4,32,97.6,23,92,4.00,0,268,53,5.0566,68,6.0882,,21:08,3:03
43,42,LAR,2019,2019-12-21,8:15,5:15,Away,SFO,16,15,Sat,L 31-34,,31,34,-3,65,7.0,covered,45.5,over,27,46,58.7,323,2,1,0,0,85.7,24,72,3.00,2,395,70,5.6429,56,5.9643,1,32:21,3:06
44,43,TAM,2019,2019-12-21,1:00,1:00,Home,HOU,16,15,Sat,L 20-23,,20,23,-3,43,3.0,push,50.0,under,25,48,52.1,329,1,4,3,6,46.3,21,106,5.05,1,435,72,6.0417,63,3.6349,5,30:28,3:15
45,44,IND,2019,2019-12-16,8:15,7:15,Away,NOR,15,14,Mon,L 7-34,,7,34,-27,41,8.0,not covered,48.5,under,18,34,52.9,159,0,0,1,6,65.7,17,46,2.71,1,205,52,3.9423,63,6.7302,,23:38,2:55
46,45,ATL,2019,2019-12-15,4:25,1:25,Away,SFO,15,14,Sun,W 29-22,,29,22,7,51,10.5,covered,50.0,over,25,39,64.1,201,2,0,2,9,94.1,20,89,4.45,1,290,61,4.7541,62,5.0484,1,29:12,3:14
47,46,BUF,2019,2019-12-15,8:20,8:20,Away,PIT,15,14,Sun,W 17-10,,17,10,7,27,1.0,covered,37.0,under,13,25,52.0,131,1,1,1,8,63.9,38,130,3.42,1,261,64,4.0781,56,4.0893,2,32:20,3:01
48,47,CAR,2019,2019-12-15,1:00,1:00,Home,SEA,15,14,Sun,L 24-30,,24,30,-6,54,6.0,push,48.5,over,25,42,59.5,269,1,3,1,8,56.5,29,145,5.00,2,414,72,5.7500,63,6.7937,3,28:42,3:06
49,48,CHI,2019,2019-12-15,1:00,12:00,Away,GNB,15,14,Sun,L 13-21,,13,21,-8,34,4.0,not covered,40.0,under,29,53,54.7,319,1,2,3,15,63.3,27,96,3.56,0,415,83,5.0000,58,5.0345,3,34:22,3:17
50,49,CIN,2019,2019-12-15,1:00,1:00,Home,NWE,15,14,Sun,L 13-34,,13,34,-21,47,10.5,not covered,42.0,over,17,31,54.8,151,1,4,0,0,39.2,32,164,5.13,0,315,63,5.0000,63,4.6190,5,32:51,3:05
51,50,ARI,2019,2019-12-15,4:05,2:05,Home,CLE,15,14,Sun,W 38-24,,38,24,14,62,3.0,covered,49.0,over,19,25,76.0,219,1,1,0,0,98.6,35,226,6.46,4,445,60,7.4167,67,5.8657,1,29:11,3:00
52,51,DAL,2019,2019-12-15,4:25,3:25,Home,LAR,15,14,Sun,W 44-21,,44,21,23,65,1.0,covered,48.5,over,15,23,65.2,212,2,0,0,0,123.8,45,263,5.84,3,475,68,6.9853,68,4.2500,,36:06,3:14
53,52,DEN,2019,2019-12-15,1:00,12:00,Away,KAN,15,14,Sun,L 3-23,,3,23,-20,26,10.0,not covered,43.0,under,18,40,45.0,199,0,1,2,9,49.9,15,52,3.47,0,251,57,4.4035,62,6.7581,1,26:27,2:57
54,53,DET,2019,2019-12-15,1:00,1:00,Home,TAM,15,14,Sun,L 17-38,,17,38,-21,55,5.5,not covered,46.0,over,24,43,55.8,250,0,2,2,10,53.4,18,45,2.50,2,295,63,4.6825,73,6.7808,3,26:41,3:14
55,54,HOU,2019,2019-12-15,1:00,12:00,Away,TEN,15,14,Sun,W 24-21,,24,21,3,45,3.0,covered,50.0,under,19,27,70.4,234,2,2,1,9,90.7,35,140,4.00,1,374,63,5.9365,67,6.4478,2,31:20,3:02
56,55,JAX,2019,2019-12-15,4:05,1:05,Away,OAK,15,14,Sun,W 20-16,,20,16,4,36,7.0,covered,47.0,under,17,29,58.6,185,2,0,2,16,100.5,22,77,3.50,0,262,53,4.9434,72,5.0556,,25:48,3:03
57,56,MIA,2019,2019-12-15,1:00,1:00,Away,NYG,15,14,Sun,L 20-36,,20,36,-16,56,3.5,not covered,47.0,over,23,41,56.1,262,2,0,3,17,91.7,25,122,4.88,0,384,69,5.5652,63,6.5397,1,28:53,3:11
58,57,LAC,2019,2019-12-15,4:05,1:05,Home,MIN,15,14,Sun,L 10-39,,10,39,-29,49,1.0,not covered,45.0,over,28,39,71.8,283,1,3,3,24,68.6,19,62,3.26,0,345,61,5.6557,62,5.5484,7,27:39,2:59
59,58,WAS,2019,2019-12-15,1:00,1:00,Home,PHI,15,14,Sun,L 27-37,,27,37,-10,64,7.0,not covered,38.0,over,19,28,67.9,251,2,0,1,10,119.8,22,101,4.59,1,352,51,6.9020,73,5.6849,1,23:03,3:09
60,59,NYJ,2019,2019-12-12,8:20,8:20,Away,BAL,15,14,Thu,L 21-42,,21,42,-21,63,17.0,not covered,44.0,over,18,32,56.3,207,2,1,1,11,83.7,24,103,4.29,0,310,57,5.4386,59,7.2881,2,28:22,3:00
61,60,NYG,2019,2019-12-09,8:15,8:15,Away,PHI,14,13,Mon,L 17-23,OT,17,23,-6,40,9.5,covered,45.5,under,15,30,50.0,182,2,0,2,21,91.2,20,73,3.65,0,255,52,4.9038,85,4.9176,,21:59,3:20
63,61,BUF,2019,2019-12-08,1:00,1:00,Home,BAL,14,13,Sun,L 17-24,,17,24,-7,41,6.5,not covered,44.0,under,17,39,43.6,105,1,0,6,41,59.5,23,104,4.52,0,209,68,3.0735,59,4.3559,1,27:11,3:11
64,62,CAR,2019,2019-12-08,1:00,1:00,Away,ATL,14,13,Sun,L 20-40,,20,40,-20,60,3.5,not covered,48.0,over,28,41,68.3,245,1,2,5,48,71.7,22,100,4.55,1,345,68,5.0735,67,6.8806,4,28:16,3:11
65,63,CIN,2019,2019-12-08,1:00,1:00,Away,CLE,14,13,Sun,L 19-27,,19,27,-8,46,6.5,not covered,43.0,over,23,39,59.0,272,0,1,2,16,69.6,31,179,5.77,1,451,72,6.2639,52,6.4038,1,34:31,3:15
66,64,IND,2019,2019-12-08,1:00,1:00,Away,TAM,14,13,Sun,L 35-38,,35,38,-3,73,3.0,push,46.5,over,19,36,52.8,243,2,0,1,8,92.7,22,66,3.00,1,309,59,5.2373,78,6.9487,1,25:45,3:14
67,65,ARI,2019,2019-12-08,4:25,2:25,Home,PIT,14,13,Sun,L 17-23,,17,23,-6,40,2.5,not covered,43.5,under,20,30,66.7,165,2,3,5,29,63.2,22,71,3.23,0,236,57,4.1404,57,4.8246,3,28:06,2:46
68,66,DEN,2019,2019-12-08,1:00,12:00,Away,HOU,14,13,Sun,W 38-24,,38,24,14,62,8.0,covered,42.5,over,22,27,81.5,301,3,1,1,8,134.7,27,90,3.33,1,391,55,7.1091,75,5.5200,1,31:25,3:12
69,67,DET,2019,2019-12-08,1:00,3:00,Away,MIN,14,13,Sun,L 7-20,,7,20,-13,27,12.0,not covered,43.5,under,24,40,60.0,161,1,2,5,44,56.4,22,70,3.18,0,231,67,3.4478,70,5.0571,2,26:17,3:07
70,68,JAX,2019,2019-12-08,4:05,4:05,Home,LAC,14,13,Sun,L 10-45,,10,45,-35,55,3.5,not covered,42.0,over,25,38,65.8,164,1,0,2,7,83.7,23,88,3.83,0,252,63,4.0000,58,9.0517,,30:37,2:57
